filename,slice,model,psnr,ssim,nmse,psnr_roi,nmse_roi
file1000000.h5,9,unet_baseline_l1,27.150978306007048,[0.66940695],0.07062603,25.90708213206088,0.009222796
file1000000.h5,9,unet_cbam_l1_attn,27.412811769443685,[0.69460617],0.06649384,27.22153568911463,0.006814237
file1000000.h5,9,unet_roi_focus_l1_roi,27.280027683035918,[0.68626372],0.06855825,26.56058699191953,0.007934364
file1000000.h5,9,unet_attention_gates_l1_roi_agate,27.443299908405137,[0.6722654],0.06602868,27.200835912723544,0.0068467935
file1000000.h5,9,unet_full_attention_l1_roi_attn_agate,26.132329556057556,[0.60514849],0.089295514,27.35488127677696,0.0066081933
file1000000.h5,10,unet_baseline_l1,27.361589587361145,[0.70389181],0.06672187,26.527771456243343,0.010181836
file1000000.h5,10,unet_cbam_l1_attn,27.538803455761403,[0.71785538],0.06405409,28.818479664577502,0.0060083503
file1000000.h5,10,unet_roi_focus_l1_roi,27.704831979979325,[0.72200492],0.06165155,27.07536638934755,0.008975663
file1000000.h5,10,unet_attention_gates_l1_roi_agate,28.007599995883975,[0.7098079],0.057499923,28.46456207573519,0.00651849
file1000000.h5,10,unet_full_attention_l1_roi_attn_agate,26.772011749686712,[0.67171028],0.07642335,27.684266092702163,0.0078014727
file1000000.h5,11,unet_baseline_l1,28.056836243035814,[0.74467031],0.056558717,25.692305452574704,0.011288347
file1000000.h5,11,unet_cbam_l1_attn,28.630140865981595,[0.77196089],0.049564302,27.957133810213953,0.006701122
file1000000.h5,11,unet_roi_focus_l1_roi,28.5462490656321,[0.76434661],0.05053104,25.92345961081225,0.010703233
file1000000.h5,11,unet_attention_gates_l1_roi_agate,28.521310736509854,[0.74203261],0.050822042,26.68361396312732,0.008984616
file1000000.h5,11,unet_full_attention_l1_roi_attn_agate,28.2008538348025,[0.73627491],0.054713916,27.36242054305327,0.007684558
file1000000.h5,12,unet_baseline_l1,28.483464151365908,[0.68259448],0.051119715,25.139191090775334,0.013751049
file1000000.h5,12,unet_cbam_l1_attn,29.908777395748643,[0.78041071],0.03681774,27.5146645877429,0.0079577165
file1000000.h5,12,unet_roi_focus_l1_roi,28.602063227936032,[0.6850623],0.04974261,25.149955458125977,0.013717008
file1000000.h5,12,unet_attention_gates_l1_roi_agate,29.091453140051094,[0.68365864],0.044441584,26.781909260655496,0.009420284
file1000000.h5,12,unet_full_attention_l1_roi_attn_agate,28.795150425731215,[0.65080609],0.04757949,26.692890117388835,0.009615366
file1000000.h5,13,unet_baseline_l1,28.513776446198445,[0.67147673],0.050792895,24.473704189849734,0.019810293
file1000000.h5,13,unet_cbam_l1_attn,29.26908645599007,[0.75776903],0.042684667,26.448152154633767,0.01257321
file1000000.h5,13,unet_roi_focus_l1_roi,28.345921695264632,[0.66424587],0.052794468,24.208187869401012,0.021059232
